studentRegNo,courseCode,grade
S13038,PHY181,B
S13617,PHY498,F
S12218,CHEM572,C
S13557,ENG468,B
S11911,POLI273,A
S14755,STAT457,C
S13340,ME165,C
S14723,CHEM382,D
S12046,MATH178,B
S13180,ME352,F
S11234,ENG252,A
S13889,BIO141,A
S13749,MATH542,C
S13427,DS586,A
S14481,CHEM576,A
S12223,POLI208,F
S12347,BIO310,B
S14097,PHY483,B
S14732,ENG113,B
S10829,STAT301,C
S11205,HIST251,C
S14835,POLI427,A
S14984,ECON485,D
S14475,PHY503,C
S13401,ECE149,B
S11839,ECON444,F
S10682,DS151,B
S14221,ENG435,A
S13783,STAT145,A
S10189,ME354,D
S13882,CE166,B
S13862,BIO453,A
S10033,ENG582,A
S14393,CHEM414,B
S13948,ECE590,C
S10156,ECON384,D
S13167,STAT474,B
S11703,STAT160,A
S11003,CYB246,B
S11609,BIO403,C
S13621,ENG303,A
S12277,ECON529,A
S14736,HIST525,C
S13183,CS531,C
S12821,DS484,B
S11566,PHIL406,A
S11136,PHY483,F
S14822,CHEM422,D
S10092,PHY210,B
S14691,MATH234,B
S10654,CE441,A
S13388,PSY459,F
S12393,STAT390,B
S13358,ECE331,F
S10209,BIO310,C
S14511,ECE214,A
S11807,SOC407,A
S10859,ECE589,B
S11391,MATH279,C
S14679,CHEM114,A
S12022,STAT390,C
S14793,POLI117,C
S10666,ECE199,A
S12229,CHEM597,B
S13901,PHY569,C
S13948,CE436,D
S12241,BIO373,C
S12305,SOC123,D
S14468,BIO508,C
S10725,CE472,A
S10582,MATH542,B
S14919,PHY210,A
S12056,CS565,B
S10849,SOC305,A
S12317,SOC396,C
S14835,CS439,C
S10204,SOC124,D
S11323,BIO557,F
S11233,PHY371,C
S13417,CYB536,B
S10975,ENG306,F
S10270,CYB482,F
S14933,PSY120,A
S11182,ME162,F
S11643,SOC232,B
S12696,BIO254,C
S11277,HIST130,A
S11617,PSY138,B
S13916,CYB389,F
S10787,ENG348,D
S14847,DS151,A
S14452,POLI295,A
S12653,PHY503,B
S10707,DS504,B
S11665,STAT548,A
S10800,SOC398,C
S10132,PHIL169,B
S13800,BIO442,D
S11323,ECON596,F
S14551,ECON511,C
S12370,DS147,A
S14371,PSY335,D
S12450,BIO262,A
S13969,PHY578,C
S14977,STAT209,F
S13902,HIST534,B
S14021,CYB294,B
S13511,MATH196,C
S11956,ECON383,C
S10652,CHEM119,F
S14090,BIO254,C
S10910,CE436,F
S11000,ME500,C
S12345,PHY186,A
S11243,STAT160,B
S10392,PSY138,C
S10675,BIO571,B
S12715,CS126,B
S13549,ECE594,C
S13182,PHIL134,B
S12074,POLI516,B
S11369,PHIL265,A
S14070,STAT478,B
S10614,ME101,A
S12976,BIO244,B
S10532,PHY578,C
S14782,PHY377,C
S12260,ECE366,B
S12940,CE318,B
S12312,CE359,C
S14897,ENG213,F
S10250,CHEM289,A
S12791,CE321,B
S13292,ECE206,B
S14135,HIST251,D
S11509,BIO329,C
S10707,BIO333,A
S13311,HIST168,C
S12962,POLI307,B
S12121,POLI295,D
S13902,STAT111,C
S10679,DS250,D
S12248,CYB156,D
S10041,PHIL519,B
S13448,ECON540,A
S10331,PHY503,C
S13646,PHY498,D
S10042,ME101,F
S13373,PHY309,B
S10483,ECON444,B
S10821,ENG348,A
S11152,STAT103,B
S11380,ECE198,B
S10911,ME162,B
S11321,PHIL171,A
S14523,CE175,A
S14555,CS179,B
S14391,PHIL242,B
S11274,PSY369,A
S14964,HIST402,C
S10261,CYB100,B
S10319,DS471,C
S12195,ECE331,C
S10948,CHEM216,B
S10833,ENG460,A
S12017,PSY277,C
S12575,ECE199,B
S13629,ECON574,A
S14346,BIO403,A
S10062,CE505,F
S12369,STAT160,C
S12944,ECE589,B
S10335,PHIL406,C
S14294,ENG223,A
S14427,BIO108,D
S10194,PHY558,B
S12356,CS565,D
S12698,BIO224,B
S12727,STAT546,C
S14182,HIST489,F
S12151,ECE247,B
S13358,DS509,B
S11055,ME381,A
S10696,CYB428,B
S14550,ECON574,C
S10184,ENG297,A
S12820,ME354,F
S14581,CYB428,C
S10204,ECON444,F
S13806,SOC385,C
S10945,CE441,A
S11817,POLI521,C
S13642,CYB228,F
S11962,DS520,C
S14884,MATH394,A
S12719,CHEM382,B
S12821,PHY568,B
S13048,BIO403,C
S10170,CE378,C
S11528,MATH394,D
S10005,MATH527,B
S13521,STAT390,C
S12441,PHIL283,D
S14258,POLI411,D
S13515,ECE107,B
S10397,SOC298,B
S13765,ENG223,A
S12239,ME290,B
S10354,ENG142,B
S11178,SOC327,B
S11824,ENG314,C
S10566,STAT253,C
S14520,ENG129,A
S11801,CHEM425,A
S12296,ECE199,B
S13264,BIO415,C
S13258,HIST251,B
S13766,PHY496,D
S11477,PHIL265,D
S10074,SOC372,B
S11508,ENG223,C
S12052,PHIL189,A
S14196,CHEM102,C
S12243,STAT140,B
S11032,POLI257,A
S12711,ENG275,A
S13263,SOC407,A
S14379,POLI273,B
S12308,PHY533,F
S10235,CE296,A
S14087,CS388,D
S10122,STAT183,B
S13022,ECE331,A
S11744,ENG213,C
S12768,CS445,C
S12939,ME192,F
S10676,CHEM264,C
S11141,PSY368,B
S10377,PHY243,A
S11145,STAT409,B
S11505,CE563,D
S14915,ECE146,B
S10812,ENG348,B
S11285,SOC407,A
S11073,ENG113,B
S13336,CS337,B
S11448,CE563,A
S11972,HIST402,A
S13326,POLI295,C
S13889,DS539,F
S10040,CE302,A
S11033,PHIL519,B
S10270,CHEM597,A
S11889,DS400,A
S10369,BIO254,B
S12935,STAT103,A
S10369,ENG314,A
S14792,SOC124,A
S11960,SOC429,A
S13061,CE416,A
S14949,ECE349,A
S10506,ME101,A
S10177,ECE194,C
S12798,HIST320,A
S11197,ECE194,D
S13084,STAT466,C
S12300,BIO458,B
S14211,STAT478,B
S14912,PHY258,A
S13682,SOC396,F
S11168,CHEM216,A
S12819,CE472,D
S11779,PHIL169,C
S10678,CE592,B
S13839,CHEM338,F
S14378,ENG493,A
S12715,SOC292,B
S12358,CHEM528,A
S10105,ME500,C
S12422,ECON583,C
S11604,DS446,C
S10855,BIO571,A
S13697,CS598,B
S13446,CHEM464,B
S10478,DS276,A
S13857,BIO431,D
S13424,PHIL134,A
S14714,PHY181,C
S12630,CHEM344,B
S13332,CS439,A
S10490,CS179,A
S10567,CS445,A
S13919,CHEM420,B
S13619,ECON112,B
S13914,ECON423,B
S12746,ECON225,A
S11625,MATH450,B
S14416,CHEM282,C
S10586,CE544,A
S14233,ENG468,B
S14199,ENG288,B
S14079,ENG142,A
S11247,MATH410,B
S10176,PSY120,A
S12005,CE332,D
S12012,PSY391,C
S14625,ME564,C
S11993,PSY459,C
S11697,ME173,B
S12822,PHIL406,C
S14114,ENG535,B
S11709,POLI164,F
S14385,PHIL465,B
S14021,BIO437,C
S14070,CYB311,B
S10586,CHEM551,F
S11722,CS570,B
S10337,STAT148,A
S12251,CE441,D
S13177,ECON511,B
S13505,STAT301,B
S13531,SOC327,D
S11804,STAT546,D
S10521,PHIL512,A
S11499,PHY243,B
S12829,STAT212,F
S12039,CYB350,F
S12993,ECON444,B
S13161,CHEM414,B
S13364,HIST233,B
S14188,DS250,C
S11308,ME184,B
S14732,ECE247,C
S10985,STAT111,B
S11131,CHEM261,A
S13385,SOC396,A
S14648,ENG314,B
S14373,ECE575,B
S10899,ME173,D
S10444,DS543,B
S11035,DS484,B
S13423,CHEM464,B
S14892,ECON583,A
S12617,PSY459,A
S13611,PHIL399,C
S12108,MATH450,D
S11134,CE137,A
S10903,BIO254,B
S13041,STAT561,A
S11207,PHY503,A
S14042,CE336,C
S10051,CYB246,F
S14036,ECE470,C
S11121,CHEM291,A
S14257,PHIL249,C
S10425,ECE334,A
S11885,STAT432,C
S11097,DS147,B
S14550,CS448,D
S11179,PHY496,A
S13643,SOC430,C
S11278,CE455,A
S14648,STAT457,C
S12594,DS132,C
S13233,ECE349,B
S13647,ENG106,B
S13334,CHEM422,A
S11151,HIST534,D
S14261,CE318,A
S10924,PHIL134,F
S11241,ENG113,D
S10401,BIO556,D
S14243,PHIL249,B
S12198,POLI164,B
S12073,DS495,F
S14449,SOC204,A
S11740,ECE316,D
S14720,POLI295,A
S14173,MATH185,F
S14425,STAT409,B
S10702,STAT457,A
S10071,CYB536,B
S12074,MATH410,F
S13562,STAT548,F
S11090,ECON112,C
S13034,PHY569,B
S14655,STAT466,D
S10931,DS543,A
S12142,ECON418,B
S10766,ME564,C
S11762,CHEM291,A
S10007,SOC139,A
S12718,PHIL249,B
S13892,DS276,C
S14346,STAT466,C
S10491,SOC376,D
S11775,SOC587,B
S14174,PSY395,C
S10292,CYB246,B
S10558,PHY131,B
S12227,ENG223,A
S13323,ENG297,D
S12784,PSY138,C
S12704,ECE197,B
S10844,POLI240,B
S11779,CHEM344,B
S12619,ME280,B
S11614,ECE121,C
S10098,CS152,F
S14229,CHEM576,B
S12308,BIO329,A
S13692,ME381,B
S10747,CE592,F
S10304,CS179,D
S10841,POLI307,D
S14318,CE455,C
S11672,ECON347,C
S13571,DS147,A
S14226,ECE575,B
S14238,ECE316,A
S14659,CHEM392,B
S13157,CS324,B
S14270,ME203,C
S11309,CYB311,A
S10341,ENG468,B
S10230,CYB270,F
S14393,ECE206,B
S12093,CHEM282,C
S10548,CS401,B
S12680,DS325,C
S14468,CHEM289,A
S11961,BIO226,C
S14860,CYB494,C
S11336,BIO244,A
S13278,BIO437,A
S13834,CE563,C
S13948,SOC271,C
S10545,CS448,B
S12192,ECE575,B
S14489,ENG348,C
S11704,CHEM102,D
S11658,STAT103,A
S14222,POLI274,A
S13784,MATH191,B
S13147,HIST320,C
S11818,DS230,B
S13039,PHY515,C
S10501,ME184,B
S14242,CHEM289,F
S13493,CS154,F
S10036,ECON511,B
S11560,CE581,F
S14384,PHY569,C
S13865,POLI164,D
S10065,POLI427,B
S11833,ECON384,D
S11367,DS586,B
S13892,ECON340,B
S10949,ECE161,D
S14106,PHIL249,A
S11050,POLI454,C
S14128,BIO571,B
S10008,POLI499,C
S10070,CHEM326,F
S11199,CE137,A
S11159,STAT466,D
S11153,ECE199,B
S12377,CYB350,A
S10424,ECON278,C
S13960,HIST534,D
S13662,ECON340,A
S13499,PHY578,A
S14748,SOC398,C
S10887,SOC292,B
S14996,PHY322,B
S13266,ENG306,C
S13331,HIST251,A
S14992,ECE470,C
S14292,PHY537,A
S12355,PHY498,B
S10143,CHEM414,C
S11247,BIO182,F
S12306,ECON583,A
S13111,MATH449,C
S11607,POLI499,B
S11640,ECE590,C
S11041,CHEM528,A
S10622,HIST489,B
S10108,ECE334,A
S12330,CHEM344,C
S13451,DS125,C
S12740,ME352,C
S14806,DS158,A
S12693,CHEM119,C
S10787,PHY122,A
S11240,ENG314,A
S14128,HIST116,A
S12856,ME386,C
S11711,BIO442,B
S13839,CS565,B
S13733,MATH542,C
S11665,STAT212,B
S14158,POLI356,C
S12934,DS351,D
S14916,PHIL195,A
S14673,ENG306,B
S10747,MATH518,B
S11986,ECON596,D
S14139,DS573,B
S13173,CYB536,B
S11966,PHY515,A
S11701,ECE146,F
S14053,POLI454,A
S13339,ECE316,B
S14247,PSY172,B
S14413,CYB270,B
S14851,STAT561,A
S14080,BIO442,A
S10021,PSY120,D
S11157,CYB110,B
S10406,CS144,B
S13088,DS504,A
S10704,CS401,A
S12768,PHY243,A
S11173,CYB353,D
S13282,ENG588,C
S10467,MATH550,C
S11623,CE220,B
S13447,ECE532,C
S11778,POLI295,C
S11644,PHY515,A
S10476,ENG129,C
S14827,CS126,B
S14875,CS401,A
S14530,SOC327,B
S10029,ME514,F
S14355,PHY595,A
S14314,SOC429,F
S11889,SOC271,C
S12282,ECE133,B
S14916,CE487,A
S10414,ECON418,C
S10404,CHEM572,B
S11807,DS424,B
S13479,STAT145,A
S11395,BIO373,F
S10202,ECON362,C
S10674,PHIL171,F
S13515,ECE366,A
S14686,STAT255,C
S12100,ENG493,B
S10030,STAT546,B
S11804,CE137,F
S10723,CS118,F
S14493,POLI584,A
S12003,ENG104,D
S13544,ME354,F
S14953,BIO329,C
S12377,PHIL171,A
S14788,PSY163,C
S11146,CE441,B
S11906,SOC342,F
S12916,BIO431,A
S10850,POLI307,D
S13499,DS345,C
S10805,ECON360,B
S13261,CS545,D
S14348,PHY377,D
S11775,PHY309,F
S13542,CE378,B
S12928,ECON112,A
S13248,MATH550,C
S11322,PSY335,F
S11408,BIO403,A
S13482,CE321,B
S14216,HIST525,C
S10091,PSY391,C
S11595,BIO329,C
S10701,DS586,B
S12661,PHY186,A
S14933,DS446,D
S14405,PHY595,C
S13799,PHIL249,C
S11981,CHEM513,B
S14386,CS154,A
S12796,ECON418,B
S13808,CS177,B
S14941,CHEM528,B
S12427,ECON112,B
S11539,ECON567,C
S14359,ECON112,B
S10593,CS570,C
S12383,PSY163,C
S10895,BIO556,F
S13174,PHY268,B
S14773,MATH196,C
S11139,HIST402,F
S12887,CE544,B
S10760,BIO373,B
S10657,BIO431,A
S12526,PSY369,B
S10459,STAT546,C
S10357,CHEM102,C
S11504,MATH234,B
S11482,ENG367,F
S14597,MATH527,D
S12863,POLI427,B
S10407,CHEM420,A
S10136,PHY496,A
S11607,BIO109,A
S11228,POLI274,C
S10522,SOC429,B
S10295,ME352,B
S14682,CHEM486,F
S13289,ME438,C
S12823,HIST176,F
S11327,CHEM216,D
S13342,STAT409,A
S10975,DS424,C
S13149,PHY186,D
S10111,ME500,F
S11602,CYB110,F
S12143,DS502,A
S13153,PHY433,C
S11137,SOC232,C
S14703,ECE331,B
S13846,ECON583,C
S12361,ECON112,C
S12675,CYB353,D
S10753,CHEM513,C
S12269,CS256,B
S14895,ENG288,F
S14063,DS230,A
S13116,PHY377,F
S11706,CHEM285,C
S12073,CE581,B
S12083,BIO269,C
S12299,CYB294,C
S14497,BIO599,B
S13431,POLI281,F
S14211,ENG201,C
S12192,CE359,A
S12430,SOC387,C
S11873,ME438,F
S12893,ENG435,B
S13514,CHEM422,A
S13411,ME526,B
S13556,CYB300,D
S14240,CS260,A
S10240,ECON540,C
S13774,SOC342,B
S13858,CHEM102,F
S14988,POLI248,A
S13346,CYB494,D
S14594,CS211,C
S12062,STAT253,A
S13527,CYB405,C
S14387,HIST116,B
S12503,PSY263,C
S12958,PHIL469,A
S11432,SOC372,B
S13796,ME184,C
S10067,CS126,B
S12296,PHIL188,F
S14943,STAT488,A
S10374,ECE456,B
S11861,PHY568,C
S11162,ECE532,F
S12578,CHEM238,C
S12829,CE441,C
S10039,ENG223,C
S10234,DS132,B
S12744,ME386,F
S10900,POLI281,A
S11086,ENG452,C
S10039,STAT253,F
S10189,CE436,A
S14606,STAT148,B
S12813,CHEM216,D
S11140,CS565,B
S12169,DS495,C
S11904,DS522,A
S14026,MATH417,D
S12708,MATH196,A
S10823,SOC157,A
S12888,MATH394,A
S11366,SOC305,B
S13774,MATH518,B
S14516,PHY322,D
S13115,CE563,A
S12817,CYB156,C
S14289,DS286,B
S14329,ECE198,C
S12867,ECON278,B
S10657,SOC232,C
S13533,PSY120,C
S10662,PHIL399,A
S10768,STAT140,B
S12493,DS276,D
S12561,CHEM486,C
S13717,STAT457,A
S13423,PHIL169,B
S14454,ECE532,A
S13732,MATH202,A
S12049,ENG297,A
S11150,PHY533,A
S12600,HIST525,B
S13466,ENG468,C
S11366,HIST489,B
S10831,PHIL188,C
S10235,HIST363,B
S10970,CYB361,F
S13621,CYB300,A
S14826,ECON418,F
S13472,CHEM392,A
S14943,ME526,B
S10165,DS504,D
S14896,CE272,F
S13570,PSY481,B
S10485,PSY259,B
S12702,PHIL469,C
S14834,SOC376,A
S13430,DS325,A
S10818,SOC585,A
S11763,PHY243,C
S14350,CS570,C
S10315,POLI257,B
S10740,CE436,B
S11247,ENG129,A
S14979,ME517,A
S12439,MATH287,A
S11185,ECON383,A
S11945,CS154,A
S11085,HIST341,B
S13039,CHEM326,B
S11513,MATH410,C
S10902,PSY467,B
S14837,ECON112,C
S12119,ECE199,D
S14270,ENG535,C
S12450,CS227,B
S13051,BIO215,F
S10692,POLI553,A
S11284,CYB440,F
S13963,ECON347,A
S10878,CHEM264,A
S11204,MATH449,C
S13831,STAT409,A
S12783,ME514,A
S13702,STAT209,D
S14171,SOC157,D
S11157,MATH450,C
S10438,STAT474,B
S11872,PHIL519,C
S11283,DS150,C
S12016,ENG303,C
S10618,DS502,B
S11784,POLI447,B
S13965,DS158,C
S12940,CS170,C
S13696,ECE349,A
S12392,PSY277,D
S10663,CHEM291,D
S10462,DS230,B
S10418,MATH105,D
S11454,STAT103,A
S13090,CHEM480,D
S11999,ME386,B
S10280,SOC554,A
S12536,PHIL426,B
S10452,CS187,C
S14120,ME304,B
S13248,SOC124,A
S10389,DS239,A
S11685,DS239,B
S13762,POLI447,B
S10563,CS374,C
S11197,CHEM222,C
S14437,POLI358,A
S10618,SOC554,A
S14501,CYB440,A
S11413,PSY136,A
S12568,DS151,A
S12300,SOC292,A
S14468,PHY258,A
S10023,DS150,A
S14480,PHY186,B
S11933,PHIL188,A
S14507,STAT478,A
S10629,CHEM551,C
S13168,ENG367,A
S13367,ENG213,B
S10074,SOC221,B
S10704,STAT432,F
S13923,ECON225,C
S14917,ENG106,B
S14180,BIO403,C
S13982,SOC319,B
S10378,ECE121,A
S11060,BIO141,B
S10816,POLI499,A
S13882,ECON567,A
S10935,PHY322,A
S14592,DS286,D
S10225,ECE506,C
S14367,ECON529,C
S10853,ME192,A
S10052,ECON370,B
S10902,CHEM551,C
S10659,ECON418,B
S12489,CHEM285,B
S12976,ECON315,C
S11161,BIO415,B
S12772,PHY299,D
S14915,PHIL195,B
S14083,STAT140,A
S13654,MATH475,C
S10952,ENG452,C
S14104,POLI356,B
S11158,PHY533,B
S14789,POLI281,B
S11101,SOC479,B
S13126,CHEM572,C
S14455,STAT212,F
S13049,DS286,B
S13758,DS150,A
S14298,CHEM344,C
S10381,ME184,C
S11781,MATH451,C
S12364,CE441,B
S10563,BIO254,B
S13202,POLI553,B
S14048,ME317,A
S11789,CYB100,B
S10904,PSY136,D
S13408,PHY498,A
S12442,PHIL189,C
S10837,CHEM291,A
S14189,CHEM216,A
S13250,SOC372,C
S11697,SOC554,F
S12145,DS345,A
S12050,SOC298,B
S14412,CYB389,B
S14182,POLI562,B
S10178,PHY210,B
S14577,POLI499,F
S10024,CHEM114,B
S11801,ECE349,C
S11866,SOC305,C
S10645,BIO491,B
S11483,CYB482,F
S14864,DS158,C
S11373,ECON347,F
S13140,PHY268,C
S12295,DS132,A
S12164,DS125,B
S10771,BIO141,B
S11395,ME165,B
S12300,DS345,A
S11577,CYB110,A
S10935,CS328,C
S13280,PHY433,A
S13935,SOC271,C
S14307,PHIL413,C
S14265,ENG435,B
S14723,CHEM344,D
S14764,CHEM414,B
S14917,ENG129,B
S11104,CS154,B
S10904,PHIL242,B
S13352,DS504,B
S13420,CHEM282,B
S10777,ECON383,C
S10835,CE581,D
S10077,CE321,A
S11730,ECON423,D
S12567,BIO308,D
S10775,BIO308,A
S10771,PHY186,C
S13002,ME526,B
S11458,PSY481,D
S13394,CS152,B
S12499,POLI411,B
S13997,ECON567,C
S10581,STAT145,C
S11730,PSY369,D
S14833,BIO431,C
S14794,ENG127,B
S11365,STAT457,A
S11697,SOC429,D
S14092,SOC139,B
S14044,ECON278,A
S11406,DS158,B
S11593,ECON315,F
S11983,SOC139,B
S14316,PHY268,B
S10300,CHEM486,D
S12543,ENG452,C
S10461,BIO224,B
S11338,SOC407,B
S12423,ME290,B
S12727,PSY357,A
S13449,POLI562,F
S11920,CS448,C
S14800,CYB380,C
S11013,MATH178,B
S12281,MATH475,A
S11262,HIST174,F
S12801,CS154,B
S12230,PSY135,D
S11509,PHIL265,C
S10546,CHEM422,C
S12081,ME526,B
S13448,CYB559,A
S10870,PHIL519,C
S11492,STAT461,A
S10305,ME162,C
S13237,ENG219,C
S12139,PHIL283,B
S11703,ECE470,C
S12061,BIO262,A
S12571,PHY299,A
S10431,CYB408,A
S13852,PHIL406,B
S12766,PHY496,F
S10377,PHY433,C
S12505,CHEM285,D
S14745,ECE375,B
S12273,PHY568,C
S14607,PHY483,C
S11440,PSY459,A
S13960,CHEM425,C
S11541,PHY268,C
S10761,ENG314,B
S10527,PHIL134,D
S11767,BIO593,C
S11573,PHY578,B
S10235,CHEM344,C
S10991,DS345,C
S12406,BIO599,A
S11476,CS256,A
S11406,SOC430,A
S12214,STAT148,C
S14302,MATH550,C
S11880,PHY515,D
S13373,ECON444,F
S11514,MATH475,A
S12561,POLI257,F
S10771,BIO556,B
S12539,POLI248,B
S12429,HIST489,F
S12217,CS179,C
S10252,ENG180,C
S12004,CHEM513,D
S13013,STAT103,C
S12520,CS324,B
S10744,STAT160,C
S14216,CE318,C
S12755,BIO313,F
S10066,PHIL413,D
S12334,CS152,B
S12879,ECE198,C
S10532,CYB559,A
S10318,PSY263,B
S11099,STAT253,D
S10764,MATH450,C
S10457,ECON360,F
S11467,ENG297,D
S10578,ENG113,C
S12607,CE296,B
S12188,ME192,C
S14863,PHIL189,A
S11429,ENG223,B
S13126,CE321,C
S13468,SOC407,A
S11375,PSY391,B
S11898,ECE375,B
S14658,CYB228,A
S10535,CHEM420,D
S11571,POLI411,C
S11888,PHY501,C
S11038,PHY243,C
S11218,DS250,A
S13478,ECON444,A
S11538,CHEM238,B
S11651,PHIL512,B
S14238,ECE375,C
S11950,DS231,A
S13038,CS152,F
S14315,POLI295,B
S12084,STAT474,A
S13560,BIO497,D
S12359,PHIL189,B
S14604,STAT190,B
S11094,ECON383,B
S10170,SOC330,B
S12785,DS520,D
S14731,SOC541,B
S14582,DS424,F
S14284,CHEM513,C
S13057,POLI411,B
S13928,CS531,C
S10067,CS227,C
S14956,PSY547,F
S12321,BIO267,A
S14922,ECE149,D
S13852,POLI307,B
S12118,ECE334,A
S14501,ENG367,A
S10308,ECON490,C
S14822,POLI274,B
S14509,ECON360,F
S11738,PHY578,B
S12333,STAT478,C
S13292,CE441,B
S13552,HIST320,B
S14414,STAT412,C
S13347,BIO458,A
S10182,STAT546,D
S13549,PHIL399,A
S12136,ECON418,B
S10672,BIO141,A
S11760,BIO508,B
S13670,CS152,B
S13935,BIO524,B
S13540,CE472,B
S12774,SOC139,B
S14138,ECE316,F
S10785,CE296,B
S12396,HIST233,C
S11480,SOC204,B
S11699,ECON596,F
S13563,MATH394,B
S10152,BIO552,F
S12279,PHIL265,C
S10136,SOC430,B
S13350,PHY309,D
S14723,DS504,F
S13968,ENG275,B
S11111,DS522,C
S12165,STAT561,A
S14595,PHY322,A
S14399,DS400,A
S12712,BIO510,B
S12463,ECE590,A
S11065,BIO269,A
S11971,ECE375,B
S14018,SOC319,C
S13083,PSY547,D
S14212,DS504,A
S13369,HIST489,C
S14237,BIO431,B
S12002,STAT488,C
S14581,CE544,A
S13156,STAT200,B
S12873,ENG213,A
S10692,STAT111,C
S11157,CS324,B
S13091,SOC407,B
S11707,CYB100,C
S14126,ECON540,B
S14011,PSY335,B
S13080,STAT488,B
S11771,SOC298,B
S11201,CS126,F
S13460,PHY210,B
S12304,POLI208,C
S12114,ENG306,B
S14896,ECON293,C
S12003,ENG219,A
S10589,CS445,F
S11607,ENG213,B
S13454,STAT145,B
S10391,BIO329,D
S11016,POLI553,B
S12293,DS543,B
S13781,POLI553,B
S13387,ECE555,A
S12007,ENG582,B
S14408,CS260,C
S14173,CHEM414,F
S14540,PHY568,D
S14000,POLI516,B
S14061,ECE594,C
S13066,PHIL413,B
S12349,STAT432,A
S12336,ECON529,B
S12738,CS170,C
S11558,CS328,C
S12078,HIST549,D
S10225,CE592,C
S11966,HIST343,B
S13439,SOC385,B
S10204,BIO235,D
S10184,ECE590,D
S13450,STAT339,B
S12524,CYB405,B
S11636,ENG252,A
S12597,CHEM486,B
S11701,PHY433,C
S10486,ECON418,C
S10264,SOC429,C
S14677,ENG535,B
S10274,PHIL507,B
S13263,CHEM282,C
S11228,ENG223,C
S12157,ENG275,A
S12732,ENG435,C
S12993,ECON225,B
S11476,ECON567,A
S11066,ENG582,B
S10261,ECON423,C
S10110,SOC541,F
S12131,CHEM338,A
S14674,CE477,A
S10490,BIO476,A
S12520,PHIL399,F
S12962,DS522,B
S10644,SOC407,C
S14897,POLI356,C
S13269,ME526,B
S10658,CS144,B
S12607,PSY357,A
S13668,PHY503,F
S13291,CE318,A
S12510,ECON340,B
S10761,CYB361,C
S13345,CYB361,B
S10000,PHY243,C
S14780,BIO310,B
S13140,CYB380,D
S10129,SOC479,B
S11090,ENG288,B
S14918,DS400,B
S14315,CYB428,C
S12262,PSY467,A
S11906,POLI454,A
S11478,MATH394,C
S14066,ECE316,F
S10142,CHEM261,B
S13941,CS448,A
S14382,ECE316,A
S11274,PHIL134,B
S12904,PHIL134,A
S10722,SOC372,B
S10264,POLI257,B
S13695,CE544,A
S14520,HIST402,D
S12075,CE332,C
S14098,POLI273,A
S13729,STAT253,D
S11050,ME101,A
S14961,MATH234,B
S10136,CHEM576,D
S11363,PHY569,C
S14133,PSY346,C
S12927,ENG142,B
S13328,CYB311,B
S14070,DS345,B
S11669,ECE146,F
S13002,SOC139,B
S11539,ENG104,A
S14211,CHEM291,A
S13427,DS495,B
S10643,ECON278,A
S14319,BIO497,B
S11374,CE455,A
S14508,CYB408,B
S10474,ME514,C
S12486,STAT461,D
S10622,PHY569,A
S14538,SOC292,B
S14250,ECON529,D
S10906,SOC292,B
S11456,PHY210,B
S10795,DS400,A
S14362,ECON490,F
S10751,CYB380,D
S10336,STAT474,A
S11606,ECON591,B
S12115,DS543,B
S12122,ME165,C
S11417,PSY259,F
S10842,ENG452,C
S13030,MATH394,B
S11983,ECON490,D
S14813,BIO476,F
S11420,DS132,B
S11267,HIST341,F
S12418,ECE146,F
S12422,ECE470,B
S11610,CS227,A
S12919,CHEM285,A
S10442,SOC587,A
S11830,CHEM119,A
S12517,HIST251,A
S13612,SOC372,A
S10817,BIO557,A
S13336,SOC284,C
S12482,CS439,C
S12619,BIO333,B
S13540,SOC221,C
S12502,CHEM266,F
S12486,ECE161,C
S11505,CYB405,C
S11158,BIO308,F
S14898,HIST236,B
S10451,BIO313,B
S10672,PHY578,C
S10843,STAT111,B
S10857,PHY569,C
S13132,CYB428,B
S10764,BIO108,A
S14312,CHEM425,A
S12048,HIST168,D
S11011,POLI307,B
S13419,DS522,B
S11031,CS177,C
S14089,CHEM282,F
S13294,CS187,C
S13121,MATH527,C
S13124,ENG588,A
S14334,ECE199,C
S14067,BIO393,C
S10707,PSY481,A
S12828,PSY391,A
S12881,ME352,A
S11086,CHEM382,C
S10402,ENG460,A
S11194,ME115,A
S13795,ECON567,D
S14578,POLI273,C
S11055,DS230,D
S14558,CS337,F
S11185,STAT412,B
S12418,SOC271,A
S10366,BIO269,C
S14192,BIO552,F
S10188,STAT461,F
S14227,ME304,A
S13113,PHY122,B
S10234,PHIL188,C
S11490,MATH234,A
S12937,PHY533,B
S13908,MATH234,B
S13269,POLI454,F
S12794,ECE121,C
S10190,DS231,D
S14117,CHEM597,C
S14137,BIO269,B
S12126,SOC204,A
S13186,PHY268,C
S12903,HIST320,D
S11806,HIST363,C
S14348,ECON360,F
S13627,CE472,D
S12847,ME317,C
S11946,CE137,A
S10429,BIO313,C
S11130,CS531,C
S10722,DS150,C
S11585,ECON384,B
S12289,PSY346,D
S12269,CYB440,C
S10652,ECON485,C
S10126,STAT209,B
S11698,PHY268,A
S12100,SOC538,F
S14807,BIO508,F
S12643,CYB473,A
S11380,DS586,C
S12374,POLI257,A
S10999,SOC232,B
S14615,STAT474,A
S12962,ENG219,B
S11049,SOC387,A
S12936,CHEM551,A
S13349,SOC342,A
S10461,PHIL519,C
S11810,POLI164,C
S13226,ME352,A
