code,title,credits,department,instructorId,semester,classroomNo
HIST489,Data Structures in Operating Systems,5,History,1193,SPRING,CR307
ECON490,Data Structures in Thermodynamics,5,Economics,1071,FALL,CR394
BIO491,Analytics using Database Systems,4,Biology,1270,SPRING,CR101
ECE492,Fundamentals of Database Systems,4,Electronics,1129,WINTER,CR993
ENG493,Introduction to Quantum Physics,5,English,1233,WINTER,CR234
CYB494,Programming in Ethics,5,Cyber Security,1254,SUMMER,CR697
DS495,Advanced IoT,4,Data Science,1217,SUMMER,CR731
PHY496,Advanced Quantum Physics,3,Physics,1049,WINTER,CR729
BIO497,Analytics using Ethics,4,Biology,1256,FALL,CR110
PHY498,Introduction to Organic Chemistry,5,Physics,1212,FALL,CR780
POLI499,Advanced Operating Systems,2,Political Science,1048,SUMMER,CR442
ME500,Programming in Software Engineering,5,Mechanical Engineering,1216,SPRING,CR027
PHY501,Modern Software Engineering,2,Physics,1133,FALL,CR885
DS502,Introduction to Organic Chemistry,5,Data Science,1182,WINTER,CR798
PHY503,Analytics using Software Engineering,3,Physics,1093,SUMMER,CR702
DS504,Principles of Operating Systems,4,Data Science,1159,FALL,CR275
CE505,Principles of Database Systems,3,Civil Engineering,1234,WINTER,CR283
ECE506,Applied Cloud Computing,2,Electronics,1102,FALL,CR258
PHIL507,Analytics using Cloud Computing,3,Philosophy,1189,WINTER,CR110
BIO508,Applied Algorithms,5,Biology,1109,FALL,CR862
DS509,Modern Digital Forensics,4,Data Science,1036,WINTER,CR836
BIO510,Applied Microeconomics,3,Biology,1181,WINTER,CR322
ECON511,Concepts of Microeconomics,4,Economics,1075,WINTER,CR991
PHIL512,Modern Ethics,4,Philosophy,1218,WINTER,CR374
CHEM513,Data Structures in Linear Algebra,3,Chemistry,1084,SPRING,CR976
ME514,Analytics using Linear Algebra,5,Mechanical Engineering,1208,FALL,CR852
PHY515,Concepts of Cloud Computing,3,Physics,1168,FALL,CR248
POLI516,Machine Learning with Operating Systems,5,Political Science,1054,WINTER,CR076
ME517,Data Structures in Cloud Computing,5,Mechanical Engineering,1211,WINTER,CR557
MATH518,Modern Software Engineering,2,Mathematics,1127,SPRING,CR788
PHIL519,Machine Learning with Macroeconomics,3,Philosophy,1039,SPRING,CR577
DS520,Modern Psychology,2,Data Science,1113,SPRING,CR101
POLI521,Fundamentals of Cyber Security,3,Political Science,1022,WINTER,CR384
DS522,Theory of Data Mining,3,Data Science,1269,FALL,CR026
CE523,Advanced Organic Chemistry,5,Civil Engineering,1028,SPRING,CR119
BIO524,Modern Organic Chemistry,4,Biology,1145,WINTER,CR804
HIST525,Programming in Cloud Computing,4,History,1298,WINTER,CR100
ME526,Analytics using Digital Forensics,4,Mechanical Engineering,1218,SPRING,CR308
MATH527,Analytics using Networks,2,Mathematics,1027,FALL,CR664
CHEM528,Machine Learning with Statistics,3,Chemistry,1272,SUMMER,CR566
ECON529,Modern Software Engineering,5,Economics,1231,WINTER,CR238
DS530,Machine Learning with Statistics,3,Data Science,1234,WINTER,CR406
CS531,Analytics using IoT,3,Computer Science,1206,WINTER,CR607
ECE532,Concepts of Algorithms,3,Electronics,1257,SUMMER,CR286
PHY533,Data Structures in Networks,3,Physics,1188,FALL,CR334
HIST534,Theory of Networks,4,History,1249,WINTER,CR541
ENG535,Data Structures in Ethics,5,English,1158,SPRING,CR357
CYB536,Theory of IoT,3,Cyber Security,1121,FALL,CR941
PHY537,Machine Learning with Operating Systems,4,Physics,1246,SPRING,CR245
SOC538,Advanced Statistics,4,Sociology,1244,SUMMER,CR524
DS539,Concepts of IoT,3,Data Science,1159,WINTER,CR434
ECON540,Theory of Software Engineering,3,Economics,1267,SUMMER,CR502
SOC541,Principles of Statistics,4,Sociology,1224,WINTER,CR635
MATH542,Modern Algorithms,5,Mathematics,1018,SUMMER,CR200
DS543,Programming in Cyber Security,5,Data Science,1053,WINTER,CR702
CE544,Concepts of Digital Forensics,5,Civil Engineering,1234,SUMMER,CR085
CS545,Fundamentals of Organic Chemistry,2,Computer Science,1178,FALL,CR231
STAT546,Applied Statistics,5,Statistics,1020,WINTER,CR563
PSY547,Advanced Data Mining,2,Psychology,1281,FALL,CR794
STAT548,Modern Software Engineering,2,Statistics,1166,WINTER,CR560
HIST549,Concepts of Networks,3,History,1226,FALL,CR896
MATH550,Theory of Quantum Physics,4,Mathematics,1166,SPRING,CR450
CHEM551,Fundamentals of Linear Algebra,4,Chemistry,1121,WINTER,CR170
BIO552,Fundamentals of Linear Algebra,2,Biology,1208,FALL,CR546
POLI553,Data Structures in Software Engineering,3,Political Science,1238,FALL,CR721
SOC554,Applied Data Mining,4,Sociology,1200,SPRING,CR139
ECE555,Introduction to Quantum Physics,3,Electronics,1199,SUMMER,CR256
BIO556,Analytics using Microeconomics,3,Biology,1034,WINTER,CR502
BIO557,Data Structures in Quantum Physics,5,Biology,1166,WINTER,CR463
PHY558,Machine Learning with Database Systems,5,Physics,1020,FALL,CR712
CYB559,Theory of Cloud Computing,4,Cyber Security,1015,SPRING,CR890
PHY560,Analytics using Digital Forensics,4,Physics,1077,SPRING,CR815
STAT561,Concepts of Linear Algebra,5,Statistics,1163,SUMMER,CR507
POLI562,Modern Organic Chemistry,4,Political Science,1081,SUMMER,CR580
CE563,Modern Artificial Intelligence,2,Civil Engineering,1234,SPRING,CR642
ME564,Introduction to Networks,3,Mechanical Engineering,1086,WINTER,CR468
CS565,Concepts of Linear Algebra,3,Computer Science,1214,FALL,CR163
POLI566,Advanced Macroeconomics,4,Political Science,1244,SPRING,CR381
ECON567,Introduction to Ethics,4,Economics,1175,SUMMER,CR440
PHY568,Analytics using Networks,2,Physics,1165,SUMMER,CR489
PHY569,Principles of Data Mining,3,Physics,1022,WINTER,CR010
CS570,Analytics using Microeconomics,2,Computer Science,1101,WINTER,CR711
BIO571,Theory of Database Systems,3,Biology,1256,WINTER,CR092
CHEM572,Advanced Microeconomics,4,Chemistry,1122,FALL,CR141
DS573,Principles of Operating Systems,2,Data Science,1220,SPRING,CR625
ECON574,Theory of Macroeconomics,3,Economics,1025,SUMMER,CR942
ECE575,Data Structures in Digital Forensics,3,Electronics,1208,SPRING,CR919
CHEM576,Principles of Networks,5,Chemistry,1242,FALL,CR987
ECE577,Modern Operating Systems,3,Electronics,1285,FALL,CR661
PHY578,Fundamentals of Software Engineering,4,Physics,1263,SPRING,CR869
SOC579,Fundamentals of Cyber Security,3,Sociology,1157,WINTER,CR303
MATH580,Fundamentals of Cloud Computing,5,Mathematics,1014,SPRING,CR247
CE581,Machine Learning with IoT,2,Civil Engineering,1262,SPRING,CR370
ENG582,Principles of Ethics,5,English,1261,FALL,CR560
ECON583,Theory of Database Systems,2,Economics,1138,SPRING,CR015
POLI584,Fundamentals of Artificial Intelligence,2,Political Science,1270,WINTER,CR519
SOC585,Machine Learning with Cyber Security,5,Sociology,1216,WINTER,CR719
DS586,Advanced Software Engineering,3,Data Science,1082,FALL,CR086
SOC587,Advanced Cyber Security,3,Sociology,1215,SUMMER,CR550
ENG588,Concepts of Data Mining,2,English,1297,FALL,CR716
ECE589,Analytics using Thermodynamics,2,Electronics,1124,SUMMER,CR089
ECE590,Advanced Digital Forensics,2,Electronics,1138,FALL,CR683
ECON591,Advanced Algorithms,3,Economics,1145,SPRING,CR168
CE592,Modern Cyber Security,4,Civil Engineering,1030,SUMMER,CR381
BIO593,Analytics using Quantum Physics,2,Biology,1191,SPRING,CR344
ECE594,Applied Cyber Security,2,Electronics,1108,FALL,CR730
PHY595,Theory of Digital Forensics,4,Physics,1127,SPRING,CR512
ECON596,Modern Statistics,4,Economics,1269,SPRING,CR916
CHEM597,Fundamentals of Cyber Security,2,Chemistry,1138,SPRING,CR880
CS598,Fundamentals of Artificial Intelligence,5,Computer Science,1064,FALL,CR393
BIO599,Principles of Artificial Intelligence,5,Biology,1113,SUMMER,CR330
